iso_code,amusementparks,nightlife,beaches,camping,exploringnature,eatingout,museums,showstheatresandmusic,wellness,zoos
VEN,6.753923046454738,6.529558731496659,7.481955222350003,2.6343605139085224,8.391042684864926,6.12484107270352,8.593570818889617,7.713040561857025,0.383870619960141,8.15195267520821
VNM,7.212515846769433,6.856612955815112,7.529898283279434,4.553230365157814,8.715794458098514,7.5592764633997716,8.980308520607055,7.423793767092642,6.40969416824997,5.624902140206874
YEM,4.4976551964413725,3.3542212573557553,4.302451555808316,0.3268571325115675,6.570426950904373,5.227398324278545,6.136776958414005,3.783566849333161,0.161380112829705,5.493056449310482
ZMB,0.0,5.464522635956235,0.0,6.12687556904983,7.779472733865574,6.244686342952955,6.603284147486046,4.24372800099177,0.454352209924034,6.010954376378148
ZWE,3.718318303684269,5.166237361176149,0.0,5.458901852474415,7.288097610865907,6.003875236348016,7.075416794777771,4.004712117182954,6.170000607104496,5.394709580666753
ZAF,6.692965665926681,6.882095439436112,7.777322942598137,6.410442179589049,9.012014818989485,7.068525759648119,8.872639845691621,7.303563760141647,6.03349204338762,8.378035494191487
NZL,7.2092921974557855,6.808703885454597,7.6560256676217575,6.381066663032538,9.38602298605537,7.94282564450547,9.038335821883619,7.546942938062062,5.890329614618308,8.19156458467492
SLV,5.766787897976305,5.537297877438267,7.341160056399663,1.9439258321663853,8.124352200009223,6.089854588331513,6.806888299940816,5.585035826329602,3.007374900656148,4.307359465013854
LKA,4.881402102146949,5.60171975067101,7.672036535706158,4.559438362650096,8.521045076703698,7.053874027286876,7.948058244947735,6.220644688598849,6.070053059278919,6.763598135631084
ARE,7.060848165640473,6.75696887006364,7.206634202414985,1.608564422423544,6.576824975986975,7.115056405876054,8.50586591078623,4.506859222817353,5.126230014114224,6.191494113608908
GBR,8.69739119152867,9.122153958927404,8.575208189757719,6.116744145014293,9.482041414131354,9.843679763101875,9.903433600873974,8.976451917692703,5.610602465835218,9.072648912170113
USA,9.589258950135012,9.502015875644428,9.151270837494748,6.971347885080409,9.840669329864102,9.986356278125562,9.965826737663331,9.06392164209824,6.298198074977641,9.588596169766314
DOM,6.2273652712512,6.096193428219289,7.619443394738724,1.8883324444870033,6.970974797735961,6.836439985488924,8.147120846758686,6.350605302057816,1.7275024618801291,5.3364801318157395
SAU,5.350720634563267,4.705340884876749,5.0779547508646,0.40946656548494326,8.179013359426804,6.785341338568905,8.040842518015864,3.938028383039134,0.29479040648547533,4.89687935419526
KOR,8.271352108861105,6.941012255365226,8.2863764328295,1.9980313601183484,8.469984950949348,7.232051354113861,9.370853900391886,7.284470430928535,4.229168426133473,7.2558707785894825
MKD,4.470409452623285,6.105126358993425,6.406712598987148,3.457886074790008,7.733854654998098,6.521294357440764,7.347233883043908,4.247488227583823,0.1767339166203572,6.903316753263932
CRI,6.545565196205588,6.294057313513193,7.719099894888486,5.324804073475395,8.63280193830115,7.158577718890265,8.239815405466963,6.405998622875393,5.938046202210847,7.738170862198603
